13:24:49.781 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.Performance.Profile-Analyzer.Editor.csproj' with 1 target frameworks
13:24:49.783 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:24:49.784 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.Shared.Editor.csproj
13:24:49.784 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.Shared.Editor.csproj' with 1 target frameworks
13:24:49.786 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:24:49.786 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VSCode.Editor.csproj
13:24:49.786 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VSCode.Editor.csproj' with 1 target frameworks
13:24:49.788 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:24:49.789 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.State.Editor.csproj
13:24:49.789 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.State.Editor.csproj' with 1 target frameworks
13:24:49.791 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:24:49.792 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Assembly-CSharp-Editor.csproj
13:24:49.792 |I| Build                          | RequestBuilder thread:10       | Start build 'Assembly-CSharp-Editor.csproj' with 1 target frameworks
13:24:49.796 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:24:50.058 |I| Build                          | .NET ThreadPool Worker:18      | Finish build part [1/1] for project 'UnityEngine.UI.csproj': Success
13:24:50.058 |I| Build                          | .NET ThreadPool Worker:18      | Finish build project 'UnityEngine.UI.csproj': Success
13:24:50.168 |I| Build                          | .NET ThreadPool Worker:9       | Finish build part [1/1] for project 'UnityEditor.TestRunner.csproj': Success
13:24:50.168 |I| Build                          | .NET ThreadPool Worker:9       | Finish build project 'UnityEditor.TestRunner.csproj': Success
13:24:50.255 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.PlasticSCM.Editor.csproj': Success
13:24:50.255 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.PlasticSCM.Editor.csproj': Success
13:24:50.259 |I| Build                          | .NET ThreadPool Worker:9       | Finish build part [1/1] for project 'Unity.EditorCoroutines.Editor.csproj': Success
13:24:50.259 |I| Build                          | .NET ThreadPool Worker:9       | Finish build project 'Unity.EditorCoroutines.Editor.csproj': Success
13:24:50.262 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'JetBrains.Frontend.2021.2.csproj': Success
13:24:50.262 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'JetBrains.Frontend.2021.2.csproj': Success
13:24:50.265 |I| Build                          | .NET ThreadPool Worker:9       | Finish build part [1/1] for project 'Unity.Settings.Editor.csproj': Success
13:24:50.265 |I| Build                          | .NET ThreadPool Worker:9       | Finish build project 'Unity.Settings.Editor.csproj': Success
13:24:50.266 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.VisualScripting.Core.csproj': Success
13:24:50.266 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.VisualScripting.Core.csproj': Success
13:24:50.280 |I| Build                          | .NET ThreadPool Worker:25      | Finish build part [1/1] for project 'Unity.VisualStudio.Editor.csproj': Success
13:24:50.280 |I| Build                          | .NET ThreadPool Worker:25      | Finish build project 'Unity.VisualStudio.Editor.csproj': Success
13:24:50.281 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'UnityEditor.UI.csproj': Success
13:24:50.281 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'UnityEditor.UI.csproj': Success
13:24:50.282 |I| Build                          | .NET ThreadPool Worker:18      | Finish build part [1/1] for project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj': Success
13:24:50.282 |I| Build                          | .NET ThreadPool Worker:18      | Finish build project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj': Success
13:24:50.282 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Unity.Rider.Editor.csproj': Success
13:24:50.282 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Unity.Rider.Editor.csproj': Success
13:24:50.285 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'Unity.TextMeshPro.csproj': Success
13:24:50.302 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'Unity.TextMeshPro.csproj': Success
13:24:50.303 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.VSCode.Editor.csproj': Success
